Karibu 3|Canadian Camper|Трекинговая|3|Палатка Canadian Camper Karibu 3 - очень популярная и излюбленная среди поклонников туризма и отдыха на природе. Палатка выпускается в двух, трех и четырехместном варианте, имеет более просторный в сравнении со многими моделями тамбур. Небольшая уютная палатка Canadian Camper Karibu 3 пользуется особой популярностью среди туристов и любителей комфортного отдыха на природе. Ее легко можно брать с собой на небольшой пикник с ночевкой, подойдет она и для пеших походов или многодневного палаточного лагеря.|011t.jpg#
Rino 3|Canadian Camper|Трекинговая|3|Трекинговая палатка, 3-местная, внешний каркас, дуги из стеклопластика, 2 входа / одна комната, высокая водостойкость, вес: 4.9 кг|012t.jpg#
Dingle 3|Greenell|Трекинговая|4|Классический вариант хорошей палатки с полуавтоматическим каркасом. Лидер продаж, по достоинству оцененная пользователями благодаря своей универсальности, качеству и простоте, небольшим размерам и быстроте сборки. Палатка с легкостью может быть установлена одним человеком и занимает для этого минимум времени. Палатка имеет улучшенную вентиляцию. Используются проклеенные швы, благодаря чему повышается надежность и долговечность палатки. Имеет большой тамбур, который обеспечивает удобный доступ во внутреннее помещение, и в котором с легкостью можно оставить больше рюкзаков, снаряжения или каких – либо других вещей. |013t.jpg#
Kilkenni 5|Greenell|Кемпинговая|5|Просторная кемпинговая палатка с большими окнами. Одно спальное отделение. Очень просторный тамбур. Большие окна со шторками. Возможна отдельная установка тента. В комплекте колышки из алюминия. Высота палатки позволяет стоть в полный рост|014t.jpg#
Огрис 2|Greenell|Трекинговая|2|Новая двухместная быстросборная  палатка с увеличенным тамбуром. Специальная конструкция тамбура, позволяет разместить в нем рюкзаки, обувь. Максимальная вентиляция обеспечивается за счет внутренней палатки, выполненной полностью из москитной сетки, специального кроя тента и вентиляционных каналов в тенте палатки. Карманы для необходимых "мелочей", подвесная полка, все швы проклеены.|015t.jpg#
Spirit|Hannah|Кемпинговая|5|Большая просторная палатка, предназначенная для кемпинга и отдыха на природе всей семьей. Обеспечит Вам максимум комфорта вне дома. В спальном отсеке будет достаточно места для комфортного размещения 5 человек.Благодаря двухслойной конструкции, палатка способна выдержать проливной дождь и в ней будет уютно в ветреную погоду.Куполообразный тамбур позволяет расположить кемпинговую мебель. Габариты палатки дают возможность передвижения в полный рост.|016t.jpg#
Camp 4|KSL|Трекинговая|4|Просторная походная палатка-полусфера с 4 спальными местами, которая поможет вам переночевать с комфортом в любой тур поездке. Вы без труда сможете установить палатку за короткое время даже под дождем, ведь в начале ставится внешний тент, после чего подвешивается спальня и ложится пол тамбура. Съемный пол отлично сохраняет тепло, а внутри тамбура вы сможете расположить всю вашу экипировку. Благодаря отличной вентиляции вы не увидите конденсата на стенках палатки, а нижний бортик не позволит воде проникнуть внутрь. Палатка не подойдет для использования в зимний период.|017t.jpg#
Vega 5|KSL|Кемпинговая|5|Кемпинговая палатка VEGA-5 - отличный вариант для отдыха с друзьями. Это полноценная кемпинговая модель с внутренней палаткой и большим тамбуром.  Размеры палатки позволяют свободно перемещаться внутри нее в полный рост. Ее тщательно продуманная конструкция, над которой работали лучшие конструкторы компании, обеспечит вам комфортный отдых.|018t.jpg#
Grot|Tramp|Трекинговая|3|Палатки этой серии разработаны для любителей пеших походов или велосипедных путешествий в летнее, весеннее иосеннее время. Пригодятся они также мотоциклистам, и охотникам.Небольшой вес, современные материалы, прочность и поразительное удобство конструкций - все это отлично подойдет для каждого искателя приключений!|019t.jpg#
Space 3|Tramp|Трекинговая|3|Палатки этой серии ориентированы на продолжительные экспедиции, в том числе в сложных погодных условиях. Превосходные характеристики материалов, надежные конструкции, проверенные в различных условиях, прочные Durapol дуги — вот то, что нужно настоящему путешественнику!|020t.jpg#
Fisherman 2|Trek Planet|Трекинговая|2|Палатка Tramp Space 3 — это шикарная походная палатка-шатер с тремя спальными местами, которая поможет вам переночевать с комфортом в любой тур поездке. Пол из полиэстера отлично сохраняет тепло. Ткань палатки устойчива к ультрафиолетовому излучению и имеет пропитку, задерживающую распространение огня. Тент не оборудован юбкой. В комплекте есть противомоскитная сетка и штормовые оттяжки. Есть возможность крепления фонарика.|021t.jpg#
